fips,PST045212,PST040210,PST120212,POP010210,AGE135212,AGE295212,AGE775212,SEX255212,RHI125212,RHI225212,RHI325212,RHI425212,RHI525212,RHI625212,RHI725212,RHI825212,POP715211,POP645211,POP815211,EDU635211,EDU685211,VET605211,LFE305211,HSG010211,HSG445211,HSG096211,HSG495211,HSD410211,HSD310211,INC910211,INC110211,PVY020211,BZA010211,BZA110211,BZA115211,NES010211,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN130207,RTN131207,AFN120207,BPS030212,LND110210,POP060210
01017,34064,34215,-0.4,34215,5.8,22.0,17.6,52.3,58.9,39.1,0.2,0.6,0.1,1.1,1.9,57.6,84.8,1.1,1.8,74.2,10.5,2923,24.1,16969,71.4,10.6,82400,13562,2.50,17705,32186,21.0,557,6419,4.6,2299,1981,0.0,0.0,0.0,0.0,0.0,29.3,667283,0,264650,7620,23237,9,596.53,57.4
01019,26021,25986,0.1,25989,4.8,20.8,19.3,50.3,93.2,4.6,0.5,0.3,0.0,1.4,1.4,91.9,89.3,0.8,1.3,73.5,11.3,2254,25.8,16467,75.8,4.5,96200,11508,2.20,21673,37833,20.8,351,3590,3.6,1652,2180,0.0,0.0,0.0,0.0,0.0,14.5,307439,62293,186321,7613,13948,9,553.70,46.9
01021,43819,43642,0.4,43643,6.7,24.6,14.5,50.6,87.7,10.2,0.5,0.4,0.2,1.1,7.8,80.8,88.3,4.4,6.5,74.8,12.4,3128,32.3,19339,75.3,4.0,104300,16277,2.65,20826,40418,17.4,709,6644,-1.7,2726,0,0.0,0.0,0.0,0.0,0.0,0.0,0,155139,359910,8496,34073,17,692.85,63.0
01023,13633,13858,-1.6,13859,5.3,21.8,19.6,52.3,55.9,43.2,0.2,0.2,0.0,0.5,0.7,55.5,92.8,0.4,1.3,73.6,10.5,817,34.8,7166,84.8,3.8,61400,5165,2.67,18201,32188,20.5,264,2754,-1.8,892,1102,26.2,0.0,0.0,0.0,0.0,44.1,0,52904,84633,5969,11345,1,913.50,15.2
01025,25161,25840,-2.6,25833,5.6,23.6,17.2,52.8,54.3,44.2,0.4,0.3,0.0,0.7,1.1,53.5,93.0,0.5,1.5,78.1,13.2,1754,25.5,12574,77.1,6.7,79900,9114,2.83,18471,29668,27.2,601,6430,-1.6,1765,2374,0.0,0.0,0.0,0.0,0.0,28.6,571454,85803,344311,13034,23596,8,1238.47,20.9
01027,13435,13932,-3.6,13932,5.6,22.2,18.5,50.6,83.1,14.6,0.5,0.2,0.0,1.6,3.2,80.2,87.6,2.2,3.0,72.8,9.1,1118,27.4,6768,76.4,8.1,83400,5837,2.35,18284,35410,18.7,184,3001,-4.3,751,1005,0.0,0.0,0.0,0.0,0.0,0.0,330878,0,70558,5123,4352,0,603.96,23.1
01029,14832,14972,-0.9,14972,5.6,22.9,17.5,50.4,94.6,3.7,0.4,0.2,0.1,1.1,2.2,92.6,88.0,1.2,2.1,73.0,9.4,1099,29.4,6745,78.5,5.6,88200,5521,2.67,18881,38785,16.8,157,1567,-19.0,954,1280,0.0,0.0,0.0,0.0,0.0,17.7,0,5888,133407,9080,4134,1,560.10,26.7
01031,51252,49948,2.6,49948,6.6,23.9,14.9,50.5,76.8,17.5,1.4,1.4,0.4,2.5,6.4,71.8,83.0,4.7,6.7,80.2,21.3,5936,21.0,22473,70.6,13.4,121800,18799,2.58,22953,42065,17.7,953,12407,-1.6,2699,4032,6.0,0.0,1.3,0.0,0.7,29.3,613758,131594,639623,13665,50080,91,678.97,73.6
01033,54446,54428,0.0,54428,5.8,21.8,17.8,51.9,81.0,16.4,0.6,0.5,0.0,1.5,2.3,79.1,86.6,1.7,2.5,80.8,17.4,4429,22.7,25723,72.7,12.9,97300,22322,2.41,21693,40247,16.5,1257,18980,1.5,3867,4757,0.0,0.0,0.0,0.0,0.0,22.8,2083166,351388,821284,15040,61935,166,592.62,91.8
01035,12981,13228,-1.9,13228,5.5,22.4,19.2,51.8,51.9,46.2,0.4,0.1,0.0,1.3,1.7,51.1,96.6,0.2,1.2,72.7,11.6,1143,23.9,7035,79.4,6.7,76700,4712,2.80,16673,27977,28.0,212,2316,-11.8,716,980,0.0,0.0,0.0,0.0,0.0,23.0,183544,76736,71232,5430,8667,1,850.16,15.6
01037,10966,11544,-5.0,11539,4.5,19.3,17.9,50.4,67.1,30.8,0.6,0.2,0.2,1.2,2.1,65.9,87.0,1.9,2.7,76.2,9.5,1004,29.1,6490,84.6,2.3,79200,4667,2.34,19966,37191,18.8,90,921,-8.7,384,545,0.0,0.0,0.0,0.0,0.0,0.0,89585,31647,20531,1904,575,0,650.93,17.7
01039,37955,37765,0.5,37765,6.0,22.5,19.1,51.6,84.6,12.7,0.6,0.5,0.0,1.5,1.6,83.4,87.7,1.3,2.4,76.6,12.9,3716,20.4,18774,74.0,5.6,86100,14742,2.53,20246,33544,21.6,864,10827,3.3,2306,2957,0.0,0.0,0.0,0.0,0.0,0.0,561168,338692,424873,11544,30271,13,1030.46,36.6
01041,14083,13906,1.3,13906,6.5,23.7,16.7,51.5,71.6,24.1,0.5,2.1,0.1,1.6,1.8,70.1,87.2,2.0,2.7,76.1,11.6,1389,28.5,6710,69.1,8.9,75400,5650,2.44,21993,38041,16.9,237,3280,5.8,789,1027,25.8,0.0,0.0,0.0,0.0,30.2,270809,131874,75456,5491,5640,4,608.84,22.8
01043,80440,80406,0.0,80406,6.0,22.7,16.9,50.5,96.4,1.3,0.6,0.5,0.0,1.2,4.4,92.4,85.1,2.7,4.3,76.6,14.2,6289,27.4,37121,75.3,8.2,102300,31364,2.52,20621,38703,17.6,1693,21195,-1.8,5551,7873,1.1,0.0,1.1,0.0,0.0,23.9,1393437,0,867058,10757,102291,48,734.84,109.4
01045,50444,50251,0.4,50251,6.9,24.4,14.3,50.6,75.2,19.8,0.8,1.2,0.1,2.8,5.8,70.6,76.4,3.9,6.5,83.1,17.6,6920,20.3,22759,61.3,13.5,96800,19454,2.48,22326,45491,15.5,815,13631,3.6,2303,2951,0.0,0.0,0.0,0.0,0.0,0.0,114991,69341,332503,6889,37229,71,561.15,89.6
01047,42864,43820,-2.2,43820,7.4,26.2,14.8,53.6,29.0,69.6,0.2,0.5,0.0,0.7,0.9,28.6,85.6,0.8,1.4,76.2,13.6,3304,25.1,20098,61.5,17.1,70200,16913,2.56,17259,26909,34.7,785,10789,-5.4,2443,3148,49.1,0.0,4.4,0.0,0.0,28.8,1174763,0,437359,10223,33708,11,978.70,44.8
01049,71080,71112,0.0,71109,6.8,25.4,14.8,50.7,92.4,2.0,2.2,0.4,0.8,2.2,14.1,80.8,88.2,7.3,10.6,70.3,10.7,4501,23.1,31336,78.0,6.9,87400,26196,2.66,18788,36853,19.8,1095,16549,-3.5,4765,5908,0.0,0.8,0.6,0.0,0.0,25.8,1831626,0,635185,9303,67915,23,777.09,91.5
01051,80629,79296,1.7,79303,6.1,23.0,13.0,51.6,76.3,21.0,0.4,0.7,0.1,1.5,2.7,74.0,84.0,2.2,3.8,84.9,21.2,8098,27.8,33245,76.9,7.6,143200,28085,2.59,23828,54831,12.4,1096,14103,2.4,5001,6513,9.1,0.0,0.0,0.0,0.0,28.3,766344,104885,618313,7982,47884,216,618.49,128.2
01053,37994,38319,-0.8,38319,6.1,22.5,15.7,48.4,62.5,32.2,3.4,0.3,0.1,1.6,2.0,60.8,89.8,1.1,1.4,73.7,11.8,3117,24.6,16406,72.0,8.5,84500,13860,2.53,16509,31638,23.7,747,9454,0.9,2205,2765,9.0,3.2,0.0,0.0,0.0,21.3,665336,93125,379587,10089,31909,4,945.08,40.5
01055,104392,104430,0.0,104430,5.9,22.8,16.4,51.6,81.4,15.5,0.5,0.8,0.3,1.4,3.6,78.7,84.6,2.2,2.9,81.7,15.3,9449,23.9,47346,73.3,11.6,102000,41160,2.49,20818,37772,18.0,1979,28470,-3.4,7136,9147,6.1,0.0,0.0,0.0,0.6,25.7,1252962,518424,1114841,10801,137966,90,534.99,195.2
01057,16983,17241,-1.5,17241,5.6,21.8,18.4,50.3,86.6,11.7,0.4,0.3,0.0,1.0,1.4,85.4,88.1,0.6,1.5,74.6,10.9,1312,28.1,8384,73.7,7.9,72200,7240,2.35,18336,33378,19.7,334,3656,-0.2,1095,1378,5.1,0.0,0.0,0.0,0.0,24.3,186247,22463,130362,7433,10869,0,627.66,27.5
01059,31761,31709,0.2,31704,7.1,24.8,15.5,50.2,92.3,4.3,1.5,0.3,0.1,1.4,15.4,78.8,85.6,8.0,12.2,71.6,11.4,1961,24.9,14010,68.9,11.7,81400,12376,2.52,18715,35831,20.1,549,9765,1.5,1928,2357,0.0,0.0,0.0,0.0,0.0,23.2,671954,67398,269096,8786,25389,8,633.82,50.0
01061,26931,26790,0.5,26790,5.5,22.0,18.3,51.1,87.3,9.9,0.9,0.4,0.1,1.5,3.5,84.2,84.1,1.9,3.4,74.6,10.3,2543,25.3,12720,71.2,6.5,82000,10892,2.42,20120,35237,19.1,417,3884,-1.9,1579,1736,0.0,0.0,0.0,0.0,0.0,0.0,153342,231687,170044,6612,10402,7,574.41,46.6
01063,8876,9045,-1.9,9045,6.4,23.7,16.7,52.2,18.6,80.4,0.2,0.2,0.0,0.6,1.0,18.0,90.7,0.0,0.3,73.0,10.6,467,24.2,4969,71.4,10.7,77100,3357,2.72,15210,23004,31.7,97,1102,-19.9,522,657,60.3,0.0,0.0,0.0,0.0,36.1,0,0,33639,3697,1226,4,647.11,14.0
01065,15388,15760,-2.4,15760,6.0,24.0,16.3,52.3,40.7,58.3,0.2,0.3,0.0,0.6,1.0,40.0,88.1,0.9,1.9,71.0,10.0,1244,26.2,7588,75.8,6.6,73500,5858,2.66,16480,29236,25.9,189,2151,1.0,903,882,0.0,0.0,0.0,0.0,0.0,0.0,0,0,86735,4794,3136,14,643.94,24.5
01067,17287,17302,-0.1,17302,5.8,22.5,19.2,51.9,69.9,28.1,0.4,0.6,0.0,1.0,2.5,67.9,92.8,2.7,4.4,76.4,14.8,1465,26.3,8998,80.7,3.9,95100,6783,2.51,20079,39948,15.2,300,2739,-0.8,1022,1091,0.0,0.0,0.0,0.0,0.0,18.2,425821,0,92574,5559,7415,22,561.75,30.8
01069,103402,101547,1.8,101547,6.6,24.2,15.2,52.1,70.4,26.4,0.5,0.9,0.1,1.7,3.2,67.8,85.8,2.2,4.2,82.9,18.8,9263,19.9,45706,66.8,14.8,120500,38500,2.57,23152,41766,17.1,2746,43457,1.2,6876,10151,12.1,0.0,1.4,0.0,1.3,25.5,1310677,0,1909615,19608,177224,525,579.82,175.1
01071,53019,53226,-0.4,53227,5.5,22.1,17.5,50.8,91.9,3.4,1.6,0.5,0.1,2.6,2.6,89.9,89.8,1.7,3.1,74.4,13.5,3928,26.3,24743,76.2,6.5,88900,21629,2.44,19770,36383,17.1,845,11683,0.0,3232,4337,0.0,4.3,0.0,0.0,0.0,26.8,1525396,0,410988,7784,39315,17,1077.87,49.4
01073,660009,658466,0.2,658466,6.9,23.5,13.6,52.7,54.3,42.6,0.4,1.5,0.1,1.1,3.9,51.1,82.8,4.2,5.8,86.7,29.0,50455,23.4,299482,66.0,24.0,141700,259394,2.48,26962,45750,16.2,16278,313651,-0.6,47155,55470,23.4,0.4,2.4,0.0,1.3,29.8,10260950,13756797,11066328,16730,1268154,2330,1111.28,592.5
01075,14259,14564,-2.1,14564,5.2,21.7,19.7,51.4,87.0,11.4,0.2,0.1,0.0,1.3,1.3,85.9,86.7,0.3,0.9,76.3,9.4,1363,24.0,7306,73.4,9.3,70000,6016,2.38,20865,34711,19.1,246,2758,1.0,1009,1340,0.0,0.0,0.0,0.0,0.0,25.8,234908,0,70780,4887,6008,0,604.85,24.1
01077,92542,92709,-0.2,92709,5.5,21.1,17.6,52.1,87.2,10.1,0.5,0.8,0.1,1.4,2.4,85.2,85.4,1.9,2.9,82.9,21.6,7610,23.8,44033,71.3,14.8,108100,38315,2.36,22692,39702,17.4,1968,24479,-3.9,6819,8317,5.5,0.0,0.8,0.0,0.0,27.6,1083658,514555,1131585,12783,136587,290,667.70,138.8
01079,33838,34339,-1.5,34339,5.8,22.7,15.8,51.4,78.1,11.6,5.8,0.2,0.0,4.4,2.0,76.4,90.3,1.3,2.3,77.7,12.3,2258,26.7,15184,78.7,5.7,95000,13531,2.51,19676,40009,14.4,407,4734,7.7,2062,2289,0.0,0.0,0.0,0.0,1.1,0.0,0,23787,166958,4889,22719,0,690.68,49.7
01081,147257,140251,5.0,140247,5.7,21.7,9.7,50.7,72.0,23.2,0.3,2.9,0.1,1.5,3.6,69.0,76.1,4.8,6.6,85.5,31.2,9821,20.3,63483,63.2,23.4,144100,55176,2.41,23015,42320,19.8,2343,35565,1.9,9292,10319,16.2,0.0,2.0,0.4,0.0,28.2,0,0,1451634,11099,201205,706,607.54,230.8
01083,87654,82782,5.9,82782,6.3,23.7,13.0,49.5,82.7,13.2,0.9,1.2,0.2,1.8,5.7,78.0,87.3,3.8,5.9,80.4,21.1,7158,25.6,36019,77.2,9.0,128700,30821,2.50,24157,47199,13.8,1228,13590,-1.9,5322,5914,4.8,1.1,0.8,0.0,1.3,25.8,947299,248292,723200,9785,68140,88,559.94,147.8
01085,10857,11299,-3.9,11299,7.0,24.1,15.7,52.8,25.4,73.4,0.2,0.2,0.0,0.7,1.0,25.0,89.4,0.2,0.8,74.3,13.7,696,34.4,5048,74.2,7.1,64900,4215,2.72,17671,27905,27.3,114,2145,1.6,852,682,57.3,0.0,0.0,0.0,0.0,35.2,1156888,0,103636,8184,595,4,715.91,15.8
01087,20535,21450,-4.3,21452,5.2,19.1,15.4,53.9,16.7,81.5,0.2,0.3,0.0,1.2,1.6,16.1,83.7,0.7,3.5,78.9,21.1,1900,23.0,10166,67.9,15.6,77900,8031,2.37,16763,29355,26.7,201,5269,-15.1,1507,1584,66.7,0.0,0.0,0.0,0.0,0.0,0,0,87509,3932,19354,3,608.89,35.2
01089,343080,334811,2.5,334811,6.1,23.1,12.9,51.0,69.7,24.6,0.9,2.5,0.1,2.3,4.7,65.9,83.9,5.3,7.0,88.9,37.4,34113,21.0,149385,70.1,21.5,160400,128869,2.50,30708,57453,12.4,7997,149519,-1.3,22264,26467,12.3,1.4,3.5,0.0,1.3,29.2,8650700,2970410,4438653,14145,596324,2259,801.59,417.7
01091,20401,21029,-3.0,21027,6.1,23.4,17.8,53.0,47.3,51.4,0.2,0.2,0.2,0.7,2.0,45.8,89.1,0.1,0.5,80.9,17.8,1698,20.3,10201,73.4,8.1,88500,8359,2.50,19075,35165,20.8,475,5583,-5.3,1258,1604,0.0,0.0,0.0,0.0,0.0,21.4,542135,64589,197221,9274,16684,1,976.88,21.5
01093,30327,30777,-1.5,30776,5.3,21.5,19.2,50.8,94.4,3.8,0.4,0.3,0.1,1.1,2.3,92.3,86.1,1.1,2.5,69.2,8.5,2462,22.5,14712,75.3,11.6,75900,12806,2.32,18358,31799,20.3,521,6622,0.5,1940,2224,0.0,0.0,0.0,0.0,0.0,0.0,794483,162519,209924,7116,19081,7,742.29,41.5
01095,94776,93019,1.9,93019,7.1,25.2,15.4,50.8,94.2,2.2,1.1,0.7,0.3,1.6,12.8,82.9,85.7,8.2,10.9,74.5,15.2,7792,24.4,40569,72.2,9.0,107000,34587,2.63,20590,38563,19.7,1834,31089,-2.0,6975,8700,0.0,0.0,0.9,0.0,1.0,24.9,3029491,1138701,1357696,15434,103539,40,565.84,164.4
01097,413936,412992,0.2,412992,6.8,24.6,13.7,52.1,60.5,35.2,0.9,1.9,0.1,1.4,2.5,58.5,85.8,3.3,4.8,82.9,20.1,35538,24.1,180045,67.9,17.4,124100,155638,2.58,22306,42187,19.2,8659,149033,0.4,32045,34836,18.8,0.0,2.4,0.0,1.2,29.5,12407151,3268730,5225494,12895,562436,896,1229.44,335.9
01099,22602,23070,-2.0,23068,5.8,24.3,16.7,52.2,55.4,41.4,1.3,0.4,0.0,1.5,1.1,54.7,89.3,1.3,2.3,75.4,10.4,1356,23.9,11276,74.5,6.3,77900,8943,2.57,17408,29849,26.9,393,5190,0.4,1382,2257,23.6,0.0,0.0,0.0,0.0,24.5,1251911,92815,212618,9342,14796,2,1025.68,22.5
01101,230149,229363,0.3,229363,7.0,24.5,12.4,52.5,40.2,55.8,0.3,2.3,0.1,1.3,3.5,37.5,79.4,4.1,5.7,84.6,31.2,20957,19.5,101461,63.1,22.3,124000,88091,2.50,24991,44587,19.7,5541,98984,-1.9,17227,21463,35.6,0.7,2.4,0.0,1.3,30.9,7956627,3275567,3238175,14351,402861,645,784.25,292.5
01103,120395,119490,0.8,119490,6.3,23.7,15.0,50.7,83.9,12.4,1.1,0.7,0.1,1.9,7.8,77.0,86.2,5.2,7.3,81.9,19.0,10177,22.9,51291,72.1,14.5,117300,46129,2.53,23552,45564,14.9,2654,42646,2.6,7465,10034,5.9,1.8,1.0,0.0,0.0,21.3,0,1213925,1637628,14222,154700,142,579.34,206.3
01105,10181,10581,-3.8,10591,6.4,24.1,17.2,53.4,30.8,68.0,0.2,0.4,0.0,0.6,1.2,30.0,90.2,0.7,1.4,71.7,12.6,690,29.0,4636,63.6,12.5,62200,3690,2.70,14283,27222,25.4,131,1434,-8.5,596,854,55.7,0.0,0.0,0.0,0.0,41.3,0,10360,34121,3181,2632,0,719.66,14.7
01107,19405,19746,-1.7,19746,6.0,22.7,17.8,52.4,56.9,41.5,0.1,0.2,0.4,0.9,1.8,55.8,92.3,0.4,2.2,77.0,10.3,1561,28.9,9438,72.3,9.8,81200,7852,2.48,16310,29096,27.7,280,2716,-3.1,963,1268,0.0,0.0,0.0,0.0,0.0,10.0,107619,36581,113222,5805,6302,2,881.41,22.4
01109,33182,32899,0.9,32899,5.9,19.9,13.4,52.3,58.7,37.0,0.7,2.0,0.1,1.4,2.4,57.0,79.0,3.5,5.6,79.9,23.4,2272,20.0,15339,56.4,17.5,102800,12967,2.36,19335,31179,27.1,643,10431,0.5,1756,2527,0.0,0.0,0.0,0.0,0.0,0.0,0,0,367926,12189,45692,432,672.09,48.9
01111,22675,22914,-1.0,22913,5.6,23.0,18.4,51.7,78.1,20.0,0.4,0.3,0.1,1.2,3.0,75.4,86.0,1.9,3.8,71.2,12.2,1738,27.9,12160,74.1,5.4,91200,8949,2.49,20147,35823,23.6,339,3493,-0.4,1380,1550,7.1,0.0,0.0,0.0,0.0,0.0,401677,26751,161410,7209,9241,0,580.55,39.5
01113,57820,52949,9.2,52947,7.9,25.7,12.3,51.2,54.1,42.3,0.5,0.7,0.2,2.1,4.6,50.7,79.4,1.6,3.5,77.4,12.6,5433,22.5,24980,63.2,18.5,96200,20453,2.54,18233,33754,21.2,834,10598,-0.2,3986,3823,33.9,0.0,0.0,0.0,1.0,32.4,0,0,428236,8526,56392,646,641.14,82.6
01115,85237,83598,2.0,83593,6.4,23.5,14.3,50.0,88.6,9.0,0.3,0.7,0.1,1.2,2.2,86.7,85.1,1.9,2.5,79.9,14.6,7212,30.1,36188,81.3,4.8,129700,30588,2.62,22974,49200,13.4,1203,12870,0.0,5249,6061,2.4,1.0,1.4,0.0,0.0,28.1,985409,317458,581324,7404,70254,79,631.90,132.3
01117,200941,195080,3.0,195085,6.3,24.9,11.8,51.1,84.7,11.5,0.4,2.1,0.1,1.2,6.0,79.2,85.3,5.9,7.8,91.4,40.0,14315,29.4,81696,79.8,11.6,198900,72694,2.61,34226,68883,7.2,4802,74851,0.9,15341,18393,5.7,0.6,0.0,0.0,2.0,30.5,1723017,4385596,2520488,13737,301893,844,784.93,248.5
01119,13427,13763,-2.4,13763,5.4,21.4,15.3,54.7,24.7,74.4,0.1,0.3,0.0,0.5,1.0,24.1,86.7,0.3,0.7,75.4,13.6,774,23.9,6759,67.6,15.2,75300,5036,2.67,14122,21964,38.0,205,2655,-2.0,802,730,57.5,0.0,0.0,0.0,0.0,0.0,0,76499,59636,4494,8199,2,903.89,15.2
01121,81762,82291,-0.6,82291,5.9,23.0,15.2,51.4,65.7,32.2,0.4,0.4,0.0,1.3,2.1,64.0,84.5,1.7,2.6,76.6,12.3,6787,23.7,37131,70.7,10.1,89100,31597,2.50,18882,36609,21.7,1283,21592,1.2,4234,4872,0.0,0.0,1.5,0.0,0.0,26.6,9054200,0,730728,9113,67078,51,736.78,111.7
01123,41168,41618,-1.1,41616,5.9,22.0,18.5,51.5,71.2,26.8,0.3,0.5,0.0,1.1,2.6,69.2,85.5,1.8,2.8,77.6,17.1,3641,23.8,22217,73.5,9.0,96600,16404,2.50,22792,39423,17.1,739,9674,-9.4,2445,3528,13.0,0.0,0.0,0.0,0.0,35.0,0,0,362304,8881,28222,68,716.52,58.1
01125,198596,194653,2.0,194656,6.1,21.2,11.1,51.6,66.9,30.3,0.3,1.3,0.1,1.0,3.2,64.2,80.4,3.5,6.3,85.3,26.0,12388,21.0,85559,63.8,26.0,150600,68711,2.66,22449,43538,19.9,3968,70099,0.4,11080,14729,13.3,0.9,0.0,0.0,0.0,22.5,10852479,760623,2445850,13664,327429,901,1321.76,147.3
01127,66221,67023,-1.2,67023,5.7,22.3,17.3,51.4,91.7,6.2,0.4,0.3,0.1,1.2,2.2,89.9,87.4,1.2,1.7,76.0,10.0,5489,29.4,30459,77.1,5.9,83600,25779,2.57,20881,37161,19.7,1279,14861,-3.7,3693,5365,0.0,0.0,0.6,0.0,0.0,23.8,314804,256377,903643,13162,73895,9,791.19,84.7
01129,17109,17586,-2.7,17581,5.4,24.0,16.0,50.9,66.5,24.4,7.8,0.2,0.1,1.1,1.2,65.7,92.1,0.5,1.4,80.7,10.1,1097,31.8,8408,85.0,1.9,85600,6489,2.67,19836,40286,17.4,225,3356,-5.1,1112,1288,0.0,0.0,0.0,0.0,0.0,25.6,1153449,32856,76343,4458,0,1,1080.21,16.3
01131,11431,11665,-2.0,11670,5.7,25.4,16.4,52.9,27.4,71.8,0.1,0.1,0.0,0.6,0.7,27.2,93.5,0.2,0.9,72.4,12.0,460,24.0,5554,78.7,6.1,54500,3732,3.10,12683,23750,36.7,201,1835,-4.5,822,928,66.2,0.0,0.0,0.0,0.0,37.6,0,21337,75708,6018,12949,0,888.50,13.1
01133,24108,24483,-1.5,24484,5.1,21.2,19.1,50.9,96.6,0.8,0.9,0.3,0.2,1.3,2.7,94.5,85.2,1.3,1.3,70.9,11.5,1971,25.3,13537,75.0,6.7,83500,9568,2.53,18568,32557,21.2,464,6572,2.2,1714,2380,0.0,0.0,0.0,0.0,0.0,19.6,797845,165638,166709,6853,16564,5,612.98,39.9
02000,731449,710231,3.0,710231,7.5,25.6,8.5,47.9,67.5,3.7,14.8,5.7,1.2,7.1,6.1,63.1,79.3,6.9,16.2,91.4,27.2,71861,18.2,311201,64.3,24.4,235100,252920,2.67,31944,69014,9.5,20119,254996,0.1,53334,68728,1.5,10.0,3.1,0.3,0.0,25.9,8204030,4563605,9303387,13635,1851293,994,570640.95,1.2
02013,3161,3141,0.6,3141,3.1,10.2,6.3,32.1,24.3,7.5,23.4,40.4,0.7,3.6,13.1,13.0,64.9,63.4,73.0,80.0,17.8,82,4.3,745,51.5,15.9,121700,336,2.34,24387,57083,19.6,58,0,0.0,257,188,0.0,71.8,0.0,0.0,0.0,0.0,0,0,9326,3309,0,0,6981.94,0.4
